"Date","Region","Total Hospital cases","New Hospital cases","Total ICU cases","New ICU cases","Total deaths","New deaths","Total cured","New cured"
"2020-04-23 21:00:00","Andalucía",5.675,59,714.0,12,1.107,28.0,3.992,145.0
"2020-04-23 21:00:00","Aragón",2.359,19,254.0,1,695.0,14.0,1.781,101.0
"2020-04-23 21:00:00","Asturias",1.7280000000000002,23,131.0,1,231.0,8.0,688.0,23.0
"2020-04-23 21:00:00","Baleares",1.04,18,166.0,172,4.0,1.081,34.0,0.0
"2020-04-23 21:00:00","Canarias",868.0,13,169.0,0,128.0,7.0,1.0170000000000001,48.0
"2020-04-23 21:00:00","Cantabria",978.0,13,78.0,0,178.0,5.0,913.0,63.0
"2020-04-23 21:00:00","Castilla La Mancha",8.342,38,553.0,7,2.255,67.0,4.782,205.0
"2020-04-23 21:00:00","Castilla y León",7.506,109,510.0,2,1.6119999999999999,30.0,5.943,166.0
"2020-04-23 21:00:00","Cataluña",24.13,483,2.569,91,4.393,50.0,16.137999999999998,661.0
"2020-04-23 21:00:00","Ceuta",10.0,1,4.0,0,4.0,0.0,84.0,8.0
"2020-04-23 21:00:00","Comunidad Valenciana",4.945,28,651.0,1,1.147,23.0,5.809,421.0
"2020-04-23 21:00:00","Extremadura",1.413,38,108.0,0,411.0,4.0,1.358,121.0
"2020-04-23 21:00:00","Galicia",2.707,13,87.0,0,382.0,7.0,1.73,54.0
"2020-04-23 21:00:00","Madrid",6.601,0,949.0,0,7.765,81.0,34.211999999999996,567.0
"2020-04-23 21:00:00","Melilla",44.0,0,3.0,0,2.0,0.0,61.0,6.0
"2020-04-23 21:00:00","Murcia",625.0,1,105.0,1,125.0,1.0,791.0,25.0
"2020-04-23 21:00:00","Navarra",1.915,8,129.0,0,417.0,8.0,1.5519999999999998,107.0
"2020-04-23 21:00:00","País Vasco",6.315,55,518.0,2,1.193,26.0,8.459,323.0
"2020-04-23 21:00:00","La Rioja",1.344,13,82.0,0,307.0,4.0,1.964,27.0
