"Date","Region","Total confirmed cases","New cases","New cases percentage","Population Incidence Ratio",7,8,11
"2020-04-24 21:00:00","Andalucía",11703,167,1.4,23.66,0.0,0.0,0.0
"2020-04-24 21:00:00","Aragón",4922,55,1.1,72.24,0.0,0.0,0.0
"2020-04-24 21:00:00","Asturias",2238,4,0.2,40.18,1.0,0.0,0.0
"2020-04-24 21:00:00","Baleares",1847,26,1.4,29.58,0.0,0.0,0.0
"2020-04-24 21:00:00","Canarias",2155,15,0.7,12.45,0.0,0.0,0.0
"2020-04-24 21:00:00","Cantabria",2070,16,0.8,60.58,8000.0,0.0,80.0
"2020-04-24 21:00:00","Castilla La Mancha",15509,144,0.9,100.99,7000.0,0.0,70.0
"2020-04-24 21:00:00","Castilla y León",15990,298,1.9,185.33,6000.0,0.0,60.0
"2020-04-24 21:00:00","Cataluña",46261,717,1.6,172.99,0.0,0.0,0.0
"2020-04-24 21:00:00","Ceuta",100,0,0.0,8.26,0.0,0.0,0.0
"2020-04-24 21:00:00","Comunidad Valenciana",10066,127,1.3,29.74,4000.0,0.0,0.0
"2020-04-24 21:00:00","Extremadura",2718,0,0.0,21.73,3000.0,0.0,30.0
"2020-04-24 21:00:00","Galicia",9116,184,2.1,71.87,2000.0,0.0,20.0
"2020-04-24 21:00:00","Madrid",58818,628,1.1,194.65,1000.0,0.0,10.0
"2020-04-24 21:00:00","Melilla",108,1,0.9,11.56,0.0,0.0,0.0
"2020-04-24 21:00:00","Murcia",1468,0,0.0,3.68,0.0,0.0,0.0
"2020-04-24 21:00:00","Navarra",4627,46,1.0,123.81,0.0,0.0,0.0
"2020-04-24 21:00:00","País Vasco",12366,485,4.1,83.84,0.0,0.0,0.0
"2020-04-24 21:00:00","La Rioja",3821,31,0.8,188.76,0.0,0.0,0.0
