"Date","Region","Total confirmed cases","New cases","New cases percentage","Population Incidence Ratio"
"2020-04-25 21:00:00","Andalucía",11774,71,0.6,21.01
"2020-04-25 21:00:00","Aragón",4955,33,0.7,67.08
"2020-04-25 21:00:00","Asturias",2249,11,0.5,34.9
"2020-04-25 21:00:00","Baleares",1854,7,0.4,27.84
"2020-04-25 21:00:00","Canarias",2167,12,0.6,11.56
"2020-04-25 21:00:00","Cantabria",2083,12,0.6,56.96
"2020-04-25 21:00:00","Castilla La Mancha",15609,100,0.6,94.01
"2020-04-25 21:00:00","Castilla y León",16222,232,1.5,171.03
"2020-04-25 21:00:00","Cataluña",46811,550,1.2,166.56
"2020-04-25 21:00:00","Ceuta",100,0,0.0,8.26
"2020-04-25 21:00:00","Comunidad Valenciana",10160,94,0.9,26.36
"2020-04-25 21:00:00","Extremadura",2736,18,0.7,14.61
"2020-04-25 21:00:00","Galicia",9176,60,0.7,68.16
"2020-04-25 21:00:00","Madrid",59126,307,0.5,188.18
"2020-04-25 21:00:00","Melilla",110,2,1.9,13.87
"2020-04-25 21:00:00","Murcia",1474,6,0.4,1.67
"2020-04-25 21:00:00","Navarra",4712,85,1.8,113.57
"2020-04-25 21:00:00","País Vasco",12455,89,0.7,76.23
"2020-04-25 21:00:00","La Rioja",3861,40,1.0,183.71
