"Date","Region","Total Hospital cases","New Hospital cases","Total ICU cases","New ICU cases","Total deaths","New deaths"
"2020-05-06 21:00:00","Andalucía",6027,15,744,4,1294,13
"2020-05-06 21:00:00","Aragón",2563,12,262,2,800,12
"2020-05-06 21:00:00","Asturias",2117,36,143,1,292,5
"2020-05-06 21:00:00","Baleares",1132,10,169,1,201,2
"2020-05-06 21:00:00","Canarias",921,1,176,0,144,1
"2020-05-06 21:00:00","Cantabria",1020,2,79,0,200,1
"2020-05-06 21:00:00","Castilla La Mancha",8796,31,613,1,2677,30
"2020-05-06 21:00:00","Castilla y León",8300,54,541,3,1864,17
"2020-05-06 21:00:00","Cataluña",28248,163,2891,20,5394,49
"2020-05-06 21:00:00","Ceuta",10,0,4,0,4,0
"2020-05-06 21:00:00","Comunidad Valenciana",5252,27,704,3,1303,12
"2020-05-06 21:00:00","Extremadura",1664,14,108,0,467,4
"2020-05-06 21:00:00","Galicia",2833,22,320,1,586,4
"2020-05-06 21:00:00","Madrid",41159,128,3485,20,8504,38
"2020-05-06 21:00:00","Melilla",44,0,3,0,2,0
"2020-05-06 21:00:00","Murcia",652,2,111,0,137,1
"2020-05-06 21:00:00","Navarra",2015,10,135,0,480,4
"2020-05-06 21:00:00","País Vasco",6797,16,561,2,1383,19
"2020-05-06 21:00:00","La Rioja",1463,5,91,0,338,1
