"Date","Country","Region","Total confirmed cases","New cases","Total deaths","New deaths"
"2020-05-04","United Kingdom","England",128188,92,25785.0,257.0
"2020-05-03","United Kingdom","England",128096,393,25528.0,246.0
"2020-05-02","United Kingdom","England",127703,940,25282.0,519.0
"2020-05-01","United Kingdom","England",126763,1622,24763.0,653.0
"2020-04-30","United Kingdom","England",125141,1932,24110.0,560.0
"2020-04-29","United Kingdom","England",123209,2229,23550.0,632.0
"2020-04-28","United Kingdom","England",120980,2186,22918.0,869.0
"2020-04-27","United Kingdom","England",118794,2154,22049.0,307.0
"2020-04-26","United Kingdom","England",116640,1347,21742.0,343.0
"2020-04-25","United Kingdom","England",115293,1753,21399.0,741.0
"2020-04-24","United Kingdom","England",113540,2727,20658.0,824.0
"2020-04-23","United Kingdom","England",110813,2736,19834.0,603.0
"2020-04-22","United Kingdom","England",108077,2736,19231.0,739.0
"2020-04-21","United Kingdom","England",105341,2970,18492.0,1122.0
"2020-04-20","United Kingdom","England",102371,3091,17370.0,539.0
"2020-04-19","United Kingdom","England",99280,2071,16831.0,384.0
"2020-04-18","United Kingdom","England",97209,2529,16447.0,1011.0
"2020-04-17","United Kingdom","England",94680,3406,15436.0,826.0
"2020-04-16","United Kingdom","England",91274,3444,14610.0,907.0
"2020-04-15","United Kingdom","England",87830,3619,13703.0,732.0
"2020-04-14","United Kingdom","England",84211,3359,12971.0,1010.0
"2020-04-13","United Kingdom","England",80852,3323,11961.0,694.0
"2020-04-12","United Kingdom","England",77529,2697,11267.0,606.0
"2020-04-11","United Kingdom","England",74832,3007,10661.0,745.0
"2020-04-10","United Kingdom","England",71825,3530,9916.0,1038.0
"2020-04-09","United Kingdom","England",68295,4037,8878.0,987.0
"2020-04-08","United Kingdom","England",64258,4269,7891.0,924.0
"2020-04-07","United Kingdom","England",59989,4507,6967.0,1010.0
"2020-04-06","United Kingdom","England",55482,4336,5957.0,532.0
"2020-04-05","United Kingdom","England",51146,3033,5425.0,578.0
"2020-04-04","United Kingdom","England",48113,3321,4847.0,689.0
"2020-04-03","United Kingdom","England",44792,4038,4158.0,655.0
"2020-04-02","United Kingdom","England",40754,4007,3503.0,603.0
"2020-04-01","United Kingdom","England",36747,4086,2900.0,613.0
"2020-03-31","United Kingdom","England",32661,3741,2287.0,368.0
"2020-03-30","United Kingdom","England",28920,3481,1919.0,353.0
"2020-03-29","United Kingdom","England",25439,2435,1566.0,195.0
"2020-03-28","United Kingdom","England",23004,2375,1371.0,279.0
"2020-03-27","United Kingdom","England",20629,2650,1092.0,272.0
"2020-03-26","United Kingdom","England",17979,2612,820.0,169.0
"2020-03-25","United Kingdom","England",15367,2265,651.0,177.0
"2020-03-24","United Kingdom","England",13102,2015,474.0,143.0
"2020-03-23","United Kingdom","England",11087,2016,331.0,67.0
"2020-03-22","United Kingdom","England",9071,1206,264.0,24.0
"2020-03-21","United Kingdom","England",7865,1034,240.0,54.0
"2020-03-20","United Kingdom","England",6831,1082,186.0,32.0
"2020-03-19","United Kingdom","England",5749,931,154.0,42.0
"2020-03-18","United Kingdom","England",4818,910,112.0,33.0
"2020-03-17","United Kingdom","England",3908,678,79.0,15.0
"2020-03-16","United Kingdom","England",3230,546,64.0,22.0
"2020-03-15","United Kingdom","England",2684,397,42.0,14.0
"2020-03-14","United Kingdom","England",2287,315,28.0,18.0
"2020-03-13","United Kingdom","England",1972,392,10.0,1.0
"2020-03-12","United Kingdom","England",1580,422,9.0,2.0
"2020-03-11","United Kingdom","England",1158,365,7.0,0.0
"2020-03-10","United Kingdom","England",793,225,7.0,4.0
"2020-03-09","United Kingdom","England",568,125,3.0,1.0
"2020-03-08","United Kingdom","England",443,50,2.0,0.0
"2020-03-07","United Kingdom","England",393,47,2.0,1.0
"2020-03-06","United Kingdom","England",346,73,1.0,""
"2020-03-05","United Kingdom","England",273,47,"",""
"2020-03-04","United Kingdom","England",226,49,"",""
"2020-03-03","United Kingdom","England",177,52,"",""
"2020-03-02","United Kingdom","England",125,39,"",""
"2020-03-01","United Kingdom","England",86,31,"",""
"2020-02-29","United Kingdom","England",55,4,"",""
"2020-02-28","United Kingdom","England",51,12,"",""
"2020-02-27","United Kingdom","England",39,6,"",""
"2020-02-26","United Kingdom","England",33,3,"",""
"2020-02-25","United Kingdom","England",30,4,"",""
"2020-02-24","United Kingdom","England",26,1,"",""
"2020-02-23","United Kingdom","England",25,4,"",""
"2020-02-21","United Kingdom","England",21,1,"",""
"2020-02-19","United Kingdom","England",20,1,"",""
"2020-02-17","United Kingdom","England",19,1,"",""
"2020-02-16","United Kingdom","England",18,1,"",""
"2020-02-14","United Kingdom","England",17,1,"",""
"2020-02-13","United Kingdom","England",16,1,"",""
"2020-02-12","United Kingdom","England",15,1,"",""
"2020-02-11","United Kingdom","England",14,1,"",""
"2020-02-09","United Kingdom","England",13,1,"",""
"2020-02-08","United Kingdom","England",12,3,"",""
"2020-02-05","United Kingdom","England",9,1,"",""
"2020-02-03","United Kingdom","England",8,6,"",""
"2020-01-31","United Kingdom","England",2,1,"",""
"2020-01-30","United Kingdom","England",1,1,"",""
