"Date","Country","Total confirmed cases","Total confirmed new cases","Total deaths","Total new deaths","Transmission classification","Days since last reported case"
"2020-03-05","Republic of Korea",5766,438.0,35,3.0,"Local transmission",0.0
"2020-03-05","Japan",317,33.0,6,0.0,"Local transmission",0.0
"2020-03-05","Singapore",110,0.0,0,0.0,"Local transmission",1.0
"2020-03-05","Australia",57,14.0,2,2.0,"Local transmission",0.0
"2020-03-05","Malaysia",50,0.0,0,0.0,"Local transmission",1.0
"2020-03-05","Viet Nam",16,0.0,0,0.0,"Local transmission",21.0
"2020-03-05","Philippines",3,0.0,1,0.0,"Imported cases only",29.0
"2020-03-05","New Zealand",2,0.0,0,0.0,"Imported cases only",2.0
"2020-03-05","Cambodia",1,0.0,0,0.0,"Imported cases only",37.0
"2020-03-05","Italy",3089,587.0,107,27.0,"Local transmission",0.0
"2020-03-05","France",282,73.0,4,0.0,"Local transmission",0.0
"2020-03-05","Germany",262,66.0,0,0.0,"Local transmission",0.0
"2020-03-05","Spain",198,47.0,1,1.0,"Local transmission",0.0
"2020-03-05","the United Kingdom",89,38.0,0,0.0,"Local transmission",0.0
"2020-03-05","Switzerland",56,20.0,0,0.0,"Local transmission",0.0
"2020-03-05","Norway",56,23.0,0,0.0,"Local transmission",0.0
"2020-03-05","Netherlands",38,10.0,0,0.0,"Local transmission",0.0
"2020-03-05","Austria",37,13.0,0,0.0,"Imported cases only",0.0
"2020-03-05","Sweden",35,11.0,0,0.0,"Local transmission",0.0
"2020-03-05","Iceland",26,10.0,0,0.0,"Imported cases only",0.0
"2020-03-05","Belgium",23,15.0,0,0.0,"Local transmission",0.0
"2020-03-05","San Marino",16,8.0,0,0.0,"Local transmission",0.0
"2020-03-05","Israel",15,3.0,0,0.0,"Local transmission",0.0
"2020-03-05","Denmark",10,2.0,0,0.0,"Local transmission",0.0
"2020-03-05","Croatia",9,0.0,0,0.0,"Local transmission",1.0
"2020-03-05","Greece",9,2.0,0,0.0,"Local transmission",0.0
"2020-03-05","Finland",7,0.0,0,0.0,"Local transmission",2.0
"2020-03-05","Portugal",7,5.0,0,0.0,"Local transmission",0.0
"2020-03-05","Belarus",6,5.0,0,0.0,"Local transmission",0.0
"2020-03-05","Czechia",5,0.0,0,0.0,"Imported cases only",1.0
"2020-03-05","Romania",4,0.0,0,0.0,"Local transmission",1.0
"2020-03-05","Azerbaijan",3,0.0,0,0.0,"Imported cases only",4.0
