"Date","Country","Total confirmed cases","New cases","Total deaths","Total new deaths","Transmission classification","Days since last reported case"
"2020-03-13","Republic of Korea",7979,110,66,"0","Local transmission",0.0
"2020-03-13","Japan",675,55,19,"4","Local transmission",0.0
"2020-03-13","Singapore",187,9,0,"0","Local transmission",0.0
"2020-03-13","Australia",140,18,3,"0","Local transmission",0.0
"2020-03-13","Malaysia",129,0,0,"0","Local transmission",2.0
"2020-03-13","Philippines",52,0,2,"0","Local transmission",1.0
"2020-03-13","Viet Nam",39,0,0,"0","Local transmission",1.0
"2020-03-13","Brunei Darussalam",12,0,0,"0","Imported cases only",1.0
"2020-03-13","Cambodia",5,2,0,"0","Local transmission",0.0
"2020-03-13","New Zealand",5,0,0,"0","Local transmission",6.0
"2020-03-13","Mongolia",1,0,0,"0","Imported cases only",3.0
"2020-03-13","French Polynesia",1,0,0,"0","Imported cases only",1.0
"2020-03-13","Italy",15113,2651,1016,"189","Local transmission",0.0
"2020-03-13","Spain",2965,825,84,"36","Local transmission",0.0
"2020-03-13","France",2860,591,61,"13","Local transmission",0.0
"2020-03-13","Germany",2369,802,6,"3","Local transmission",0.0
"2020-03-13","Switzerland",858,213,6,"2","Local transmission",0.0
"2020-03-13","Denmark",674,59,0,"0","Local transmission",0.0
"2020-03-13","Sweden",620,159,0,"0","Local transmission",0.0
"2020-03-13","Netherlands",614,111,5,"0","Local transmission",0.0
"2020-03-13","The United Kingdom",594,134,8,"2","Local transmission",0.0
"2020-03-13","Austria",361,59,1,"1","Local transmission",0.0
"2020-03-13","Belgium",314,0,0,"0","Local transmission",1.0
"2020-03-13","Norway",489,0,0,"0","Local transmission",1.0
"2020-03-13","Czechia",116,22,0,"0","Local transmission",0.0
"2020-03-13","Finland",109,69,0,"0","Local transmission",0.0
"2020-03-13","Greece",98,0,1,"0","Local transmission",1.0
"2020-03-13","Israel",75,0,0,"0","Local transmission",2.0
"2020-03-13","Ireland",70,27,1,"0","Local transmission",0.0
"2020-03-13","San Marino",63,0,2,"0","Local transmission",2.0
"2020-03-13","Iceland",61,0,0,"0","Local transmission",3.0
"2020-03-13","Slovenia",57,0,0,"0","Local transmission",1.0
"2020-03-13","Poland",49,5,1,"1","Local transmission",0.0
"2020-03-13","Romania",48,0,0,"0","Local transmission",1.0
"2020-03-13","Portugal",41,0,0,"0","Local transmission",2.0
"2020-03-13","Russian Federation",34,14,0,"0","Imported cases only",0.0
"2020-03-13","Georgia",25,2,0,"0","Imported cases only",0.0
"2020-03-13","Albania",23,13,0,"0","Imported cases only",0.0
"2020-03-13","Slovakia",21,11,0,"0","Local transmission",0.0
"2020-03-13","Serbia",19,0,0,"0","Under investigation",1.0
"2020-03-13","Luxembourg",17,0,0,"0","Imported cases only",1.0
"2020-03-13","Croatia",16,0,0,"0","Local transmission",2.0
"2020-03-13","Hungary",16,3,0,"0","Local transmission",0.0
"2020-03-13","Latvia",16,0,0,"0","Imported cases only",1.0
"2020-03-13","Estonia",13,0,0,"0","Imported cases only",2.0
"2020-03-13","Belarus",12,0,0,"0","Local transmission",1.0
"2020-03-13","Azerbaijan",11,2,0,"0","Imported cases only",0.0
"2020-03-13","Malta",9,3,0,"0","Imported cases only",0.0
"2020-03-13","Bulgaria",7,0,1,"0","Local transmission",1.0
"2020-03-13","North Macedonia",7,0,0,"0","Local transmission",3.0
"2020-03-13","Cyprus",6,0,0,"0","Imported cases only",1.0
"2020-03-13","Bosnia and HerzegovinaHerzegovina",4,0,0,"0","Local transmission",2.0
"2020-03-13","Liechtenstein",4,3,0,"0","Imported cases only",0.0
"2020-03-13","Republic of Moldova",4,0,0,"0","Imported cases only",1.0
"2020-03-13","Lithuania",3,0,0,"0","Imported cases only",1.0
"2020-03-13","Ukraine",3,2,0,"0","Imported cases only",0.0
"2020-03-13","Andorra",1,0,0,"0","Imported cases only",10.0
"2020-03-13","Armenia",1,0,0,"0","Imported cases only",11.0
"2020-03-13","Holy See",1,0,0,"0","Under investigation",7.0
"2020-03-13","Monaco",1,0,0,"0","Under investigation",12.0
"2020-03-13","Turkey",1,0,0,"0","Imported cases only",1.0
"2020-03-13","Faroe Islands",2,0,0,"0","Imported cases only",4.0
"2020-03-13","Gibraltar",1,0,0,"0","Under investigation",9.0
"2020-03-13","Guernsey",1,0,0,"0","Imported cases only",3.0
"2020-03-13","Jersey",2,2,0,"0","Imported cases only",0.0
"2020-03-13","Thailand",75,5,1,"0","Local transmission",0.0
"2020-03-13","India",74,1,1,"1","Local transmission",0.0
"2020-03-13","Indonesia",34,0,1,"0","Local transmission",1.0
"2020-03-13","Maldives",8,0,0,"0","Local transmission",2.0
"2020-03-13","Bangladesh",3,0,0,"0","Local transmission",4.0
"2020-03-13","Sri Lanka",3,1,0,"0","Imported cases only",0.0
"2020-03-13","Bhutan",1,0,0,"0","Imported cases only",7.0
"2020-03-13","Nepal",1,0,0,"0","Imported cases only",49.0
"2020-03-13","Réunion",3,3,0,"0","Imported cases only",0.0
"2020-03-13","of) 10075",1075,429,75,"Local transmission","0",0.0
"2020-03-13","Qatar",262,0,0,"0","Imported cases only",1.0
"2020-03-13","Bahrain",195,6,0,"0","Local transmission",0.0
"2020-03-13","United Arab Emirates",85,11,0,"0","Local transmission",0.0
"2020-03-13","Kuwait",80,0,0,"0","Imported cases only",1.0
"2020-03-13","Iraq",70,0,7,"0","Local transmission",1.0
"2020-03-13","Egypt",67,0,1,"0","Local transmission",1.0
"2020-03-13","Lebanon",66,0,3,"0","Local transmission",1.0
"2020-03-13","Saudi Arabia",21,0,0,"0","Imported cases only",1.0
"2020-03-13","Pakistan",20,1,0,"0","Local transmission",0.0
"2020-03-13","Oman",18,0,0,"0","Imported cases only",3.0
"2020-03-13","Afghanistan",7,0,0,"0","Imported cases only",1.0
"2020-03-13","Tunisia",7,1,0,"0","Imported cases only",0.0
"2020-03-13","Morocco",6,1,1,"0","Imported cases only",0.0
"2020-03-13","Jordan",1,0,0,"0","Imported cases only",10.0
"2020-03-13","occupied Palestinian territory",31,1,0,"0","Local transmission",0.0
"2020-03-13","United States of America",1264,277,36,"7","Local transmission",0.0
"2020-03-13","Canada",138,45,1,"0","Local transmission",0.0
"2020-03-13","Brazil",77,25,0,"0","Local transmission",0.0
"2020-03-13","Chile",33,10,0,"0","Local transmission",0.0
"2020-03-13","Argentina",31,12,1,"0","Imported cases only",0.0
"2020-03-13","Costa Rica",22,9,0,"0","Local transmission",0.0
"2020-03-13","Peru",22,5,0,"0","Local transmission",0.0
"2020-03-13","Ecuador",17,0,0,"0","Local transmission",1.0
"2020-03-13","Panama",14,4,1,"0","Imported cases only",0.0
"2020-03-13","Mexico",12,1,0,"0","Imported cases only",0.0
"2020-03-13","Colombia",9,0,0,"0","Imported cases only",1.0
"2020-03-13","Dominican Republic",5,0,0,"0","Imported cases only",3.0
"2020-03-13","Paraguay",5,0,0,"0","Imported cases only",2.0
"2020-03-13","Bolivia (Plurinational State of)",3,1,0,"0","Imported cases only",0.0
"2020-03-13","Cuba",3,3,0,"0","Imported cases only",0.0
"2020-03-13","Honduras",2,0,0,"0","Imported cases only",1.0
"2020-03-13","Guyana",1,1,1,"1","Imported cases only",0.0
"2020-03-13","Jamaica",1,0,0,"0","Imported cases only",2.0
"2020-03-13","Saint Vincent and the Grenadines",1,1,0,"0","Imported cases only",0.0
"2020-03-13","French Guiana",6,1,0,"0","Imported cases only",0.0
"2020-03-13","Martinique",4,1,0,"0","Imported cases only",0.0
"2020-03-13","Saint Martin",2,0,0,"0","Under investigation",10.0
"2020-03-13","Saint Barthelemy",1,0,0,"0","Under investigation",10.0
"2020-03-13","Algeria",25,0,1,"0","Local transmission",1.0
"2020-03-13","South Africa",17,4,0,"0","Imported cases only",0.0
"2020-03-13","Senegal",10,6,0,"0","Imported cases only",0.0
"2020-03-13","Burkina Faso",2,0,0,"0","Imported cases only",2.0
"2020-03-13","Cameroon",2,0,0,"0","Local transmission",6.0
"2020-03-13","Nigeria",2,0,0,"0","Imported cases only",4.0
"2020-03-13","Cote d Ivoire",1,0,0,"0","Imported cases only",1.0
"2020-03-13","Democratic Republic of the Congoof the Congo",1,0,0,"0","Imported cases only",2.0
"2020-03-13","Togo",1,0,0,"0","Imported cases only",6.0
