"Date","Country","Total confirmed cases","Total confirmed new cases","Total deaths","Total new deaths","Transmission classification","Days since last reported case"
"20200302","Republic of Korea",4212,476,22,4,"Local transmission",0
"20200302","Japan",254,15,6,1,"Local transmission",0
"20200302","Singapore",106,4,0,0,"Local transmission",0
"20200302","Australia",27,2,1,1,"Local transmission",0
"20200302","Malaysia",24,0,0,0,"Local transmission",3
"20200302","Viet Nam",16,0,0,0,"Local transmission",18
"20200302","Philippines",3,0,1,0,"Imported cases only",27
"20200302","Cambodia",1,0,0,0,"Imported cases only",35
"20200302","New Zealand",1,0,0,0,"Imported cases only",3
"20200302","Italy",1689,561,35,6,"Local transmission",0
"20200302","Germany",129,72,0,0,"Local transmission",0
"20200302","France",100,0,2,0,"Local transmission",1
"20200302","Spain",45,0,0,0,"Local transmission",1
"20200302","the United Kingdom",36,13,0,0,"Local transmission",0
"20200302","Switzerland",24,6,0,0,"Local transmission",0
"20200302","Norway",19,4,0,0,"Local transmission",0
"20200302","Sweden",14,1,0,0,"Local transmission",0
"20200302","Netherlands",13,6,0,0,"Local transmission",0
"20200302","Austria",10,0,0,0,"Imported cases only",1
"20200302","Croatia",7,0,0,0,"Local transmission",1
"20200302","Greece",7,4,0,0,"Local transmission",0
"20200302","Israel",7,0,0,0,"Local transmission",1
"20200302","Finland",6,4,0,0,"Local transmission",0
"20200302","Denmark",4,1,0,0,"Local transmission",0
"20200302","Azerbaijan",3,0,0,0,"Imported cases only",1
"20200302","Czechia",3,3,0,0,"Imported cases only",0
"20200302","Georgia",3,0,0,0,"Imported cases only",1
"20200302","Romania",3,0,0,0,"Imported cases only",2
"20200302","Iceland",2,2,0,0,"Imported cases only",0
"20200302","Russian Federation",2,0,0,0,"Imported cases only",31
"20200302","Armenia",1,1,0,0,"Imported cases only",0
"20200302","Belarus",1,0,0,0,"Imported cases only",3
"20200302","Belgium",1,0,0,0,"Imported cases only",27
"20200302","Estonia",1,0,0,0,"Imported cases only",4
"20200302","Ireland",1,0,0,0,"Imported cases only",1
"20200302","Lithuania",1,0,0,0,"Imported cases only",3
"20200302","Luxembourg",1,1,0,0,"Imported cases only",0
"20200302","Monaco",1,0,0,0,"Under investigation",1
"20200302","North Macedonia",1,0,0,0,"Imported cases only",5
"20200302","San Marino",1,0,0,0,"Local transmission",2
"20200302","Thailand",42,0,1,1,"Local transmission",2
"20200302","India",3,0,0,0,"Imported cases only",28
"20200302","Indonesia",2,2,0,0,"Local transmission",0
"20200302","Nepal",1,0,0,0,"Imported cases only",38
"20200302","Sri Lanka",1,0,0,0,"Imported cases only",35
"20200302","Iran (Islamic Republic of)",978,385,54,11,"Local transmission",0
"20200302","Kuwait",56,11,0,0,"Imported cases only",0
"20200302","Bahrain",47,7,0,0,"Imported cases only",0
"20200302","United Arab Emirates",21,2,0,0,"Local transmission",0
"20200302","Iraq",19,6,0,0,"Imported cases only",0
"20200302","Lebanon",10,1,0,0,"Imported cases only",0
"20200302","Oman",6,0,0,0,"Imported cases only",3
"20200302","Pakistan",4,0,0,0,"Imported cases only",1
"20200302","Qatar",3,2,0,0,"Imported cases only",0
"20200302","Egypt",2,1,0,0,"Imported cases only",0
"20200302","Afghanistan",1,0,0,0,"Imported cases only",7
"20200302","the United States",62,2,0,0,"Local transmission",0
"20200302","Canada",19,0,0,0,"Local transmission",1
"20200302","Mexico",5,3,0,0,"Imported cases only",0
"20200302","Brazil",2,0,0,0,"Imported cases only",1
"20200302","Dominican Republic",1,1,0,0,"Imported cases only",0
"20200302","Ecuador",1,0,0,0,"Imported cases only",1
"20200302","Algeria",1,0,0,0,"Imported cases only",6
"20200302","Nigeria",1,0,0,0,"Imported cases only",3
"20200302","Diamond Princess",706,1,6,0,"Local transmission",0
"20200303","Republic of Korea",4812,600,28,6,"Local transmission",0
"20200303","Japan",268,14,6,0,"Local transmission",0
"20200303","Singapore",108,2,0,0,"Local transmission",0
"20200303","Australia",33,6,1,0,"Local transmission",0
"20200303","Malaysia",29,5,0,0,"Local transmission",0
"20200303","Viet Nam",16,0,0,0,"Local transmission",19
"20200303","Philippines",3,0,1,0,"Imported cases only",28
"20200303","New Zealand",2,1,0,0,"Imported cases only",0
"20200303","Cambodia",1,0,0,0,"Imported cases only",36
"20200303","Italy",2036,347,52,17,"Local transmission",0
"20200303","France",191,91,3,1,"Local transmission",0
"20200303","Germany",157,28,0,0,"Local transmission",0
"20200303","Spain",114,69,0,0,"Local transmission",0
"20200303","the United Kingdom",39,3,0,0,"Local transmission",0
"20200303","Switzerland",30,6,0,0,"Local transmission",0
"20200303","Norway",25,6,0,0,"Local transmission",0
"20200303","Austria",18,8,0,0,"Imported cases only",0
"20200303","Netherlands",18,5,0,0,"Local transmission",0
"20200303","Sweden",15,1,0,0,"Local transmission",0
"20200303","Israel",10,3,0,0,"Local transmission",0
"20200303","Croatia",8,2,0,0,"Local transmission",0
"20200303","Iceland",9,7,0,0,"Imported cases only",0
"20200303","San Marino",8,7,0,0,"Local transmission",0
"20200303","Belgium",8,7,0,0,"Imported cases only",0
"20200303","Finland",7,1,0,0,"Local transmission",0
