# Downloaded from: https://appsso.eurostat.ec.europa.eu/nui/show.do?query=BOOKMARK_DS-052266_QID_-5B61062_UID_-3F171EB0&layout=TIME,C,X,0;GEO,L,Y,0;UNIT,L,Z,0;FACILITY,L,Z,1;INDICATORS,C,Z,2;&zSelection=DS-052266UNIT,NR;DS-052266INDICATORS,OBS_FLAG;DS-052266FACILITY,HBEDT;&rankName1=UNIT_1_2_-1_2&rankName2=INDICATORS_1_2_-1_2&rankName3=FACILITY_1_2_-1_2&rankName4=TIME_1_0_0_0&rankName5=GEO_1_2_0_1&sortC=ASC_-1_FIRST&rStp=&cStp=&rDCh=&cDCh=&rDM=true&cDM=true&footnes=true&empty=false&wai=false&time_mode=NONE&time_most_recent=false&lang=EN&cfo=%23%23%23%2C%23%23%23.%23%23%23
"TIME","GEO","UNIT","FACILITY","Value"
"2017","Belgium","Number","Available beds in hospitals (HP.1)","64 423.00"
"2017","Belgium","Number","Curative care beds in hospitals (HP.1)","56 927.00"
"2017","Belgium","Inhabitants per ...","Available beds in hospitals (HP.1)","176.57"
"2017","Belgium","Inhabitants per ...","Curative care beds in hospitals (HP.1)","199.82"
"2017","Belgium","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","566.35"
"2017","Belgium","Per hundred thousand inhabitants","Curative care beds in hospitals (HP.1)","500.45"
"2017","Bulgaria","Number","Available beds in hospitals (HP.1)","52 744.00"
"2017","Bulgaria","Number","Curative care beds in hospitals (HP.1)","43 646.00"
"2017","Bulgaria","Inhabitants per ...","Available beds in hospitals (HP.1)","134.16"
"2017","Bulgaria","Inhabitants per ...","Curative care beds in hospitals (HP.1)","162.12"
"2017","Bulgaria","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","745.40"
"2017","Bulgaria","Per hundred thousand inhabitants","Curative care beds in hospitals (HP.1)","616.82"
"2017","Czechia","Number","Available beds in hospitals (HP.1)","70 214.00"
"2017","Czechia","Number","Curative care beds in hospitals (HP.1)","43 531.00"
"2017","Czechia","Inhabitants per ...","Available beds in hospitals (HP.1)","150.89"
"2017","Czechia","Inhabitants per ...","Curative care beds in hospitals (HP.1)","243.38"
"2017","Czechia","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","662.74"
"2017","Czechia","Per hundred thousand inhabitants","Curative care beds in hospitals (HP.1)","410.89"
"2017","Denmark","Number","Available beds in hospitals (HP.1)","15 037.00"
"2017","Denmark","Number","Curative care beds in hospitals (HP.1)","14 621.00"
"2017","Denmark","Inhabitants per ...","Available beds in hospitals (HP.1)","383.39"
"2017","Denmark","Inhabitants per ...","Curative care beds in hospitals (HP.1)","394.29"
"2017","Denmark","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","260.83"
"2017","Denmark","Per hundred thousand inhabitants","Curative care beds in hospitals (HP.1)","253.62"
"2017","Germany","Number","Available beds in hospitals (HP.1)","661 448.00"
"2017","Germany","Number","Curative care beds in hospitals (HP.1)","497 182.00"
"2017","Germany","Inhabitants per ...","Available beds in hospitals (HP.1)","124.96"
"2017","Germany","Inhabitants per ...","Curative care beds in hospitals (HP.1)","166.25"
"2017","Germany","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","800.23"
"2017","Germany","Per hundred thousand inhabitants","Curative care beds in hospitals (HP.1)","601.50"
"2017","Estonia","Number","Available beds in hospitals (HP.1)","6 185.00"
"2017","Estonia","Number","Curative care beds in hospitals (HP.1)","4 539.00"
"2017","Estonia","Inhabitants per ...","Available beds in hospitals (HP.1)","213.00"
"2017","Estonia","Inhabitants per ...","Curative care beds in hospitals (HP.1)","290.24"
"2017","Estonia","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","469.49"
"2017","Estonia","Per hundred thousand inhabitants","Curative care beds in hospitals (HP.1)","344.55"
"2017","Ireland","Number","Available beds in hospitals (HP.1)","14 217.00"
"2017","Ireland","Number","Curative care beds in hospitals (HP.1)","13 297.00"
"2017","Ireland","Inhabitants per ...","Available beds in hospitals (HP.1)","338.14"
"2017","Ireland","Inhabitants per ...","Curative care beds in hospitals (HP.1)","361.54"
"2017","Ireland","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","295.73"
"2017","Ireland","Per hundred thousand inhabitants","Curative care beds in hospitals (HP.1)","276.60"
"2017","Greece","Number","Available beds in hospitals (HP.1)","45 267.00"
"2017","Greece","Number","Curative care beds in hospitals (HP.1)","38 747.00"
"2017","Greece","Inhabitants per ...","Available beds in hospitals (HP.1)","237.58"
"2017","Greece","Inhabitants per ...","Curative care beds in hospitals (HP.1)","277.56"
"2017","Greece","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","420.91"
"2017","Greece","Per hundred thousand inhabitants","Curative care beds in hospitals (HP.1)","360.28"
"2017","Spain","Number","Available beds in hospitals (HP.1)","138 511.00"
"2017","Spain","Number","Curative care beds in hospitals (HP.1)","113 042.00"
"2017","Spain","Inhabitants per ...","Available beds in hospitals (HP.1)","336.39"
"2017","Spain","Inhabitants per ...","Curative care beds in hospitals (HP.1)","412.18"
"2017","Spain","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","297.28"
"2017","Spain","Per hundred thousand inhabitants","Curative care beds in hospitals (HP.1)","242.61"
"2017","France","Number","Available beds in hospitals (HP.1)","399 865.00"
"2017","France","Number","Curative care beds in hospitals (HP.1)","206 619.00"
"2017","France","Inhabitants per ...","Available beds in hospitals (HP.1)","167.22"
"2017","France","Inhabitants per ...","Curative care beds in hospitals (HP.1)","323.62"
"2017","France","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","598.02"
"2017","France","Per hundred thousand inhabitants","Curative care beds in hospitals (HP.1)","309.01"
"2017","Croatia","Number","Available beds in hospitals (HP.1)","22 878.00"
"2017","Croatia","Number","Curative care beds in hospitals (HP.1)","14 475.00"
"2017","Croatia","Inhabitants per ...","Available beds in hospitals (HP.1)","180.52"
"2017","Croatia","Inhabitants per ...","Curative care beds in hospitals (HP.1)","285.31"
"2017","Croatia","Per hundred thousand inhabitants","Available beds in hospitals (HP.1)","553.97"
"2017","Croatia","Per hundred thousand inhabitants","Curative care beds in hospitals (HP.1)","350.50"
