Area name,Area code,Area type,Specimen date,Daily lab-confirmed cases,Cumulative lab-confirmed cases
York,E06000014,Upper tier local authority,2020-04-07,0,86
Worcestershire,E10000034,Upper tier local authority,2020-04-07,0,440
Wolverhampton,E08000031,Upper tier local authority,2020-04-07,0,353
Wokingham,E06000041,Upper tier local authority,2020-04-07,0,126
Wirral,E08000015,Upper tier local authority,2020-04-07,0,289
Windsor and Maidenhead,E06000040,Upper tier local authority,2020-04-07,0,117
Wiltshire,E06000054,Upper tier local authority,2020-04-07,1,181
Wigan,E08000010,Upper tier local authority,2020-04-07,0,206
Westminster,E09000033,Upper tier local authority,2020-04-07,1,414
West Sussex,E10000032,Upper tier local authority,2020-04-07,0,319
West Berkshire,E06000037,Upper tier local authority,2020-04-07,1,121
Warwickshire,E10000031,Upper tier local authority,2020-04-07,0,440
Warrington,E06000007,Upper tier local authority,2020-04-07,0,183
Wandsworth,E09000032,Upper tier local authority,2020-04-07,0,594
Waltham Forest,E09000031,Upper tier local authority,2020-04-07,3,443
Walsall,E08000030,Upper tier local authority,2020-04-07,0,421
Wakefield,E08000036,Upper tier local authority,2020-04-07,0,200
Trafford,E08000009,Upper tier local authority,2020-04-07,0,258
Tower Hamlets,E09000030,Upper tier local authority,2020-04-07,6,407
Torbay,E06000027,Upper tier local authority,2020-04-07,3,64
Thurrock,E06000034,Upper tier local authority,2020-04-07,0,134
Telford and Wrekin,E06000020,Upper tier local authority,2020-04-07,0,98
Tameside,E08000008,Upper tier local authority,2020-04-07,0,191
Swindon,E06000030,Upper tier local authority,2020-04-07,0,87
Sutton,E09000029,Upper tier local authority,2020-04-07,0,299
Surrey,E10000030,Upper tier local authority,2020-04-07,0,1056
Sunderland,E08000024,Upper tier local authority,2020-04-07,1,344
Suffolk,E10000029,Upper tier local authority,2020-04-07,0,302
Stoke-on-Trent,E06000021,Upper tier local authority,2020-04-07,6,131
Stockton-on-Tees,E06000004,Upper tier local authority,2020-04-07,3,143
Stockport,E08000007,Upper tier local authority,2020-04-07,0,298
Staffordshire,E10000028,Upper tier local authority,2020-04-07,11,673
St. Helens,E08000013,Upper tier local authority,2020-04-07,0,268
Southwark,E09000028,Upper tier local authority,2020-04-07,0,755
Southend-on-Sea,E06000033,Upper tier local authority,2020-04-07,0,155
Southampton,E06000045,Upper tier local authority,2020-04-07,1,192
South Tyneside,E08000023,Upper tier local authority,2020-04-07,1,118
South Gloucestershire,E06000025,Upper tier local authority,2020-04-07,0,152
Somerset,E10000027,Upper tier local authority,2020-04-07,0,135
Solihull,E08000029,Upper tier local authority,2020-04-07,0,258
Slough,E06000039,Upper tier local authority,2020-04-07,0,170
Shropshire,E06000051,Upper tier local authority,2020-04-07,0,173
Sheffield,E08000019,Upper tier local authority,2020-04-07,6,941
Sefton,E08000014,Upper tier local authority,2020-04-07,0,306
Sandwell,E08000028,Upper tier local authority,2020-04-07,0,398
Salford,E08000006,Upper tier local authority,2020-04-07,0,273
Rutland,E06000017,Upper tier local authority,2020-04-07,0,8
Rotherham,E08000018,Upper tier local authority,2020-04-07,0,237
Rochdale,E08000005,Upper tier local authority,2020-04-07,0,195
Richmond upon Thames,E09000027,Upper tier local authority,2020-04-07,0,223
