Structure;File;pages;lattice;stream;multiple_tables;area
N;20200302-sitrep-42-covid-19.pdf;4-5;False;False;False;
N;20200303-sitrep-43-covid-19.pdf;3-4;False;False;False;
N;20200304-sitrep-44-covid-19.pdf;3-4;False;False;False;
N;20200305-sitrep-45-covid-19.pdf;5-6;False;False;True;
N;20200306-sitrep-46-covid-19.pdf;4-6;False;False;False;
N;20200307-sitrep-47-covid-19.pdf;3-5;False;False;False;
N;20200308-sitrep-48-covid-19.pdf;3-5;False;False;False;
N;20200309-sitrep-49-covid-19.pdf;4-6;False;False;False;
N;20200310-sitrep-50-covid-19.pdf;5-7;False;False;False;
N;20200311-sitrep-51-covid-19.pdf;4-6;False;False;False;
N;20200312-sitrep-52-covid-19.pdf;4-6;False;False;False;
N;20200313-sitrep-53-covid-19.pdf;4-6;False;False;False;
N;20200314-sitrep-54-covid-19.pdf;3-6;False;False;False;
N;20200315-sitrep-55-covid-19.pdf;3-6;False;False;False;
N;20200316-sitrep-56-covid-19.pdf;3-6;False;False;False;
N;20200317-sitrep-57-covid-19.pdf;3-6;False;False;False;
N;20200318-sitrep-58-covid-19.pdf;3-6;False;False;False;
N;20200319-sitrep-59-covid-19.pdf;4-7;False;False;False;
N;20200320-sitrep-60-covid-19.pdf;2-5;False;False;False;
N;20200321-sitrep-61-covid-19.pdf;2-6;False;False;False;
N;20200325-sitrep-65-covid-19.pdf;4-8;False;False;False;
